brand,material_raw,price_current,price_mrp,product_id,rating,review_count,title
C J Enterprise,,549.0,2999.0,B0F8W62MQ6,,4.1,303.0,banarasi saree pure kanjivaram style silk saree with blouse piece for wedding (bs09)
SWORNOF,,1199.0,3500.0,B0CCPHFNV6,,4.0,16.0,kanjivaram silk saree with zari woven saree with blouse piece
SGF11,,849.0,5999.0,B0CRV425WD,,4.2,631.0,kanjivaram soft cotton linen silk saree with blouse piece
Jaanvi fashion,,591.0,2299.0,B0CTFHJHBW,,3.9,533.0,kanchipuram silk sarees with zari & blouse piece
SWORNOF,,999.0,3999.0,B0FBMH2BZK,,4.0,383.0,silk kanjivaram kanchipuram saree with blouse piece
Silk Zone,,799.0,4444.0,B0DWN6FF5R,,3.1,2.0,digital printed chanderi saree
SWORNOF,,999.0,4000.0,B0F74B1JG8,,4.0,753.0,kanjivaram banarasi silk saree patola saree with unstitched blouse piece
C J Enterprise,,549.0,2999.0,B0F8ZH1BWP,,3.9,889.0,pure kanjivaram silk saree banarasi soft sari with blouse piece for wedding (pari124-50)
Generic,,799.0,1499.0,B0DKC8K64K,,3.5,11.0,cream off white chanderi cotton embroidered saree with maroon kalamkari printed blouse piece material (monika 9)
PALLU PATARI,,999.0,2369.0,B0FMQ8HNNY,,5.0,1.0,chanderi mulmul saree with zari woven border & unstitched blouse piece
AKHILAM,,1299.0,4979.0,B0DG5J8G8Y,,4.1,40.0,mysore silk kalamkari printed saree with unstitched blouse (sivnya101_su_parent)
JANOI,,799.0,1799.0,B0G34CSM46,,5.0,1.0,chanderi silk beautiful floral printed saree with blouse piece (az-jn-og1-saraswati chiku)
StyleScope,,599.0,2999.0,B0D9MHJNQY,,4.0,224.0,printed dola silk sequence boarder warli art saree with unstitched blouse piece (warli sequence)
RAJESHWAR FASHION WITH RF,,699.0,2999.0,B0GKYFTGGR,,,,rajeshwar fashion women chanderi silk floral printed saree with unstitched blouse piece |saree | new sari | latest saree
KALKI,,3996.0,4995.0,B0GDQHRDTX,,,,fashion mustard yellow zari woven chanderi saree with unstitched blouse
Generic,,799.0,1499.0,B0DKC8VK2W,,3.0,15.0,cream off white chanderi cotton embroidered saree with maroon kalamkari printed blouse piece material (monika 1)
