brand,material_raw,price_current,price_mrp,product_id,product_url,rating,review_count,title
Amazon Brand - Tavasya,Silk,1889,5499,B0G353CWVH,https://www.amazon.in/Amazon-Brand-Turquoise-Embroidered-TPHSKS1696_PRNV_S/dp/B0G353CWVH/ref=sr_1_23,2.6,,Women Silk Blend Zari Sequence Embroidered Kurta With Sharara And Dupatta | Kurta Set | Ethnic Wear | Salwar Suit
Miss Ethnik,,2479,9999,B0DFY3WZTN,https://www.amazon.in/Miss-Ethnik-Stitched-Embroidered-ME-1194-Pink-L/dp/B0DFY3WZTN/ref=sr_1_24,3.2,,Women's Pink Chinon Stitched Top With Stitched Chinon Bottom and Chinon Dupatta Full Sleeve Embroidered Straight Top (ME-1194)
Generic,Georgette,2599,4299,B0G39ZNWNJ,https://www.amazon.in/Womens-White-Embroidered-Sharara-Ready/dp/B0G39ZNWNJ/ref=sr_1_25,5,,Women’s White Embroidered Sharara Suit Set – Georgette Kurta with Dupatta | Ready-to-Wear Wedding & Festive Ethnic Outfit
Miss Ethnik,,2499,8199,B0DTKJ8XPN,https://www.amazon.in/Miss-Ethnik-Embroidered-Stitched-ME-1129-Orange-XXL/dp/B0DTKJ8XPN/ref=sr_1_26,3.6,,Dual Tone Strip Chinon Heavy Embroidered Stitched Sharara Suit Set With Dupatta (ME-1129)
Xomantic Fashion,,1284,2999,B0CPXQMCS6,https://www.amazon.in/Xomantic-Fashion-Embroiderd-Navyblue-Anarkali/dp/B0CPXQMCS6/ref=sr_1_27,4.2,,Women's Embroiderd Work Navyblue Color Weding Wear Anarkali Kurta Sharara Set
KRYSAL,,799,2999,B0FR2C28JB,https://www.amazon.in/KRYSAL-Embroidered-Designer-Kurta-Women/dp/B0FR2C28JB/ref=sr_1_28,3.8,,Embroidered Designer Kurta Set for Women - Stylish Kurta Set for Modern Ethnic Wear Perfect for Festive Celebrations and Elegant Party Attire
Xomantic Fashion,Georgette,1354,2999,B0CYXWFY1W,https://www.amazon.in/Xomantic-Fashion-Designer-Georgette-Readymade/dp/B0CYXWFY1W/ref=sr_1_29,4,,Womens Purple Designer Zariwork Georgette Readymade Sharara Suit
GoSriKi,Cotton,665,2599,B0CKLP8M4Q,https://www.amazon.in/GoSriKi-Embroidered-Straight-Dupatta-Begani-NGT-GS_XL_Blue_X-Large/dp/B0CKLP8M4Q/ref=sr_1_30,3.8,,"Women’s Cotton Blend Embroidered Kurta Set with Pant & Dupatta – Straight Calf‑Length, 3/4 Sleeve, Round Neck – Elegant Ethnic Attire (5 Colors, S–5XL)"
Xomantic Fashion,Georgette,1324,2999,B0CPSMS8M5,https://www.amazon.in/Xomantic-Fashion-Designer-Georgette-Readymade/dp/B0CPSMS8M5/ref=sr_1_31,4,,Womens Purple Designer Zariwork Georgette Readymade Sharara Suit
ANAGH APPARELS,Silk,2349,5999,B0GHGBVQS4,https://www.amazon.in/ANAGH-APPARELS-Designer-Embroidery-Standard/dp/B0GHGBVQS4/ref=sr_1_32,4,,GMY Silk Designer Sharara Suit Set for Women | Heavy Embroidery & Sequins Work | Full Sleeves Kurta with Sharara & Dupatta
